,age,matches,tournaments,wins,losses,winrate
1916,20,145,27,86,59,0.593103448275862
1917,16,33,8,18,15,0.5454545454545454
1920,17,94,32,54,40,0.574468085106383
1921,22,142,15,94,48,0.6619718309859155
1922,25,217,29,146,71,0.6728110599078341
1925,24,234,33,143,91,0.6111111111111112
1928,25,104,14,60,44,0.5769230769230769
1929,23,93,18,53,40,0.5698924731182796
1931,24,181,49,104,77,0.574585635359116
1932,18,234,38,129,105,0.5512820512820513
1937,22,293,47,140,153,0.4778156996587031
1939,26,262,39,152,110,0.5801526717557252
1940,21,13,2,7,6,0.5384615384615384
1943,21,86,19,41,45,0.47674418604651164
1944,24,277,29,163,114,0.5884476534296029
1945,25,254,30,140,114,0.5511811023622047
1948,30,145,29,78,67,0.5379310344827586
1950,25,375,25,226,149,0.6026666666666667
1951,20,390,23,233,157,0.5974358974358974
1952,19,204,40,97,107,0.47549019607843135
1956,28,14,5,7,7,0.5
1957,19,107,18,50,57,0.4672897196261682
1960,18,135,16,83,52,0.6148148148148148
1962,17,79,32,43,36,0.5443037974683544
1963,21,194,48,107,87,0.5515463917525774
1964,20,32,10,18,14,0.5625
1965,24,43,10,20,23,0.46511627906976744
1966,21,120,22,72,48,0.6
1967,19,133,45,74,59,0.556390977443609
1968,31,75,8,57,18,0.76
